# x	y	u	v	s2n	mask
 32.0000	5760.0000	  0.0009	 -0.0002	     nan	  0.0000
 64.0000	5760.0000	  0.0008	 -0.0000	     nan	  0.0000
 96.0000	5760.0000	  0.0011	  0.0002	     nan	  0.0000
128.0000	5760.0000	  0.0021	  0.0006	     nan	  0.0000
160.0000	5760.0000	  0.0026	  0.0011	     nan	  0.0000
192.0000	5760.0000	  0.0027	  0.0014	     nan	  0.0000
224.0000	5760.0000	  0.0026	  0.0016	     nan	  0.0000
256.0000	5760.0000	  0.0024	  0.0016	     nan	  0.0000
288.0000	5760.0000	  0.0017	  0.0013	     nan	  0.0000
320.0000	5760.0000	  0.0012	  0.0009	     nan	  0.0000
352.0000	5760.0000	  0.0001	  0.0004	     nan	  0.0000
384.0000	5760.0000	 -0.0019	 -0.0006	     nan	  0.0000
416.0000	5760.0000	 -0.0028	 -0.0025	     nan	  0.0000
448.0000	5760.0000	 -0.0032	 -0.0034	     nan	  0.0000
480.0000	5760.0000	 -0.0039	 -0.0038	     nan	  0.0000
512.0000	5760.0000	 -0.0045	 -0.0040	     nan	  0.0000
544.0000	5760.0000	 -0.0047	 -0.0042	     nan	  0.0000
576.0000	5760.0000	 -0.0042	 -0.0039	     nan	  0.0000
608.0000	5760.0000	 -0.0042	 -0.0021	     nan	  0.0000
640.0000	5760.0000	 -0.0047	 -0.0002	     nan	  0.0000
672.0000	5760.0000	 -0.0051	  0.0011	     nan	  0.0000
704.0000	5760.0000	 -0.0053	  0.0021	     nan	  0.0000
736.0000	5760.0000	 -0.0054	  0.0030	     nan	  0.0000
768.0000	5760.0000	 -0.0056	  0.0038	     nan	  0.0000
800.0000	5760.0000	 -0.0061	  0.0043	     nan	  0.0000
832.0000	5760.0000	 -0.0064	  0.0042	     nan	  0.0000
864.0000	5760.0000	 -0.0062	  0.0036	     nan	  0.0000
896.0000	5760.0000	 -0.0059	  0.0030	     nan	  0.0000
928.0000	5760.0000	 -0.0054	  0.0024	     nan	  0.0000
960.0000	5760.0000	 -0.0049	  0.0018	     nan	  0.0000
992.0000	5760.0000	 -0.0044	  0.0010	     nan	  0.0000
1024.0000	5760.0000	 -0.0039	  0.0003	     nan	  0.0000
1056.0000	5760.0000	 -0.0035	 -0.0004	     nan	  0.0000
1088.0000	5760.0000	 -0.0035	 -0.0007	     nan	  0.0000
1120.0000	5760.0000	 -0.0038	 -0.0008	     nan	  0.0000
1152.0000	5760.0000	 -0.0044	 -0.0008	     nan	  0.0000
1184.0000	5760.0000	 -0.0050	 -0.0006	     nan	  0.0000
1216.0000	5760.0000	 -0.0056	 -0.0004	     nan	  0.0000
1248.0000	5760.0000	 -0.0061	 -0.0002	     nan	  0.0000
1280.0000	5760.0000	 -0.0064	 -0.0002	     nan	  0.0000
1312.0000	5760.0000	 -0.0064	 -0.0005	     nan	  0.0000
1344.0000	5760.0000	 -0.0061	 -0.0010	     nan	  0.0000
1376.0000	5760.0000	 -0.0058	 -0.0015	     nan	  0.0000
1408.0000	5760.0000	 -0.0055	 -0.0020	     nan	  0.0000
1440.0000	5760.0000	 -0.0052	 -0.0024	     nan	  0.0000
1472.0000	5760.0000	 -0.0049	 -0.0025	     nan	  0.0000
1504.0000	5760.0000	 -0.0046	 -0.0025	     nan	  0.0000
1536.0000	5760.0000	 -0.0042	 -0.0024	     nan	  0.0000
1568.0000	5760.0000	 -0.0041	 -0.0021	     nan	  0.0000
1600.0000	5760.0000	 -0.0042	 -0.0015	     nan	  0.0000
1632.0000	5760.0000	 -0.0042	 -0.0012	     nan	  0.0000
1664.0000	5760.0000	 -0.0041	 -0.0018	     nan	  0.0000
1696.0000	5760.0000	 -0.0038	 -0.0049	     nan	  0.0000
1728.0000	5760.0000	 -0.0041	 -0.0122	     nan	  0.0000
1760.0000	5760.0000	 -0.0094	 -0.0310	     nan	  0.0000
1792.0000	5760.0000	 -0.0235	 -0.0681	     nan	  0.0000
1824.0000	5760.0000	 -0.0252	 -0.1003	     nan	  0.0000
1856.0000	5760.0000	 -0.0195	 -0.1194	     nan	  0.0000
1888.0000	5760.0000	 -0.0116	 -0.0774	     nan	  0.0000
1920.0000	5760.0000	  0.0199	  0.0724	     nan	  0.0000
1952.0000	5760.0000	  0.0202	  0.1657	     nan	  0.0000
1984.0000	5760.0000	 -0.0091	  0.2318	     nan	  0.0000
2016.0000	5760.0000	 -0.0265	  0.2656	     nan	  0.0000
2048.0000	5760.0000	 -0.0314	  0.2327	     nan	  0.0000
 32.0000	5728.0000	  0.0033	 -0.0059	     nan	  0.0000
 64.0000	5728.0000	  0.0029	 -0.0051	     nan	  0.0000
 96.0000	5728.0000	  0.0027	 -0.0041	     nan	  0.0000
128.0000	5728.0000	  0.0029	 -0.0029	     nan	  0.0000
160.0000	5728.0000	  0.0030	 -0.0016	     nan	  0.0000
192.0000	5728.0000	  0.0031	 -0.0004	     nan	  0.0000
224.0000	5728.0000	  0.0034	  0.0008	     nan	  0.0000
256.0000	5728.0000	  0.0030	  0.0013	     nan	  0.0000
288.0000	5728.0000	  0.0019	  0.0011	     nan	  0.0000
320.0000	5728.0000	  0.0014	  0.0008	     nan	  0.0000
352.0000	5728.0000	  0.0010	  0.0006	     nan	  0.0000
384.0000	5728.0000	 -0.0001	  0.0001	     nan	  0.0000
416.0000	5728.0000	 -0.0008	 -0.0008	     nan	  0.0000
448.0000	5728.0000	 -0.0013	 -0.0015	     nan	  0.0000
480.0000	5728.0000	 -0.0022	 -0.0019	     nan	  0.0000
512.0000	5728.0000	 -0.0030	 -0.0024	     nan	  0.0000
544.0000	5728.0000	 -0.0036	 -0.0028	     nan	  0.0000
576.0000	5728.0000	 -0.0036	 -0.0027	     nan	  0.0000
608.0000	5728.0000	 -0.0041	 -0.0016	     nan	  0.0000
640.0000	5728.0000	 -0.0050	 -0.0002	     nan	  0.0000
672.0000	5728.0000	 -0.0058	  0.0009	     nan	  0.0000
704.0000	5728.0000	 -0.0065	  0.0018	     nan	  0.0000
736.0000	5728.0000	 -0.0072	  0.0026	     nan	  0.0000
768.0000	5728.0000	 -0.0079	  0.0034	     nan	  0.0000
800.0000	5728.0000	 -0.0089	  0.0039	     nan	  0.0000
832.0000	5728.0000	 -0.0098	  0.0039	     nan	  0.0000
864.0000	5728.0000	 -0.0100	  0.0035	     nan	  0.0000
896.0000	5728.0000	 -0.0101	  0.0030	     nan	  0.0000
928.0000	5728.0000	 -0.0099	  0.0025	     nan	  0.0000
960.0000	5728.0000	 -0.0096	  0.0020	     nan	  0.0000
992.0000	5728.0000	 -0.0092	  0.0013	     nan	  0.0000
1024.0000	5728.0000	 -0.0087	  0.0007	     nan	  0.0000
1056.0000	5728.0000	 -0.0081	  0.0001	     nan	  0.0000
1088.0000	5728.0000	 -0.0078	 -0.0002	     nan	  0.0000
1120.0000	5728.0000	 -0.0080	 -0.0004	     nan	  0.0000
1152.0000	5728.0000	 -0.0082	 -0.0003	     nan	  0.0000
1184.0000	5728.0000	 -0.0086	 -0.0002	     nan	  0.0000
1216.0000	5728.0000	 -0.0089	  0.0000	     nan	  0.0000
1248.0000	5728.0000	 -0.0090	  0.0001	     nan	  0.0000
1280.0000	5728.0000	 -0.0090	  0.0001	     nan	  0.0000
1312.0000	5728.0000	 -0.0087	 -0.0002	     nan	  0.0000
1344.0000	5728.0000	 -0.0081	 -0.0009	     nan	  0.0000
1376.0000	5728.0000	 -0.0074	 -0.0018	     nan	  0.0000
1408.0000	5728.0000	 -0.0067	 -0.0025	     nan	  0.0000
1440.0000	5728.0000	 -0.0060	 -0.0030	     nan	  0.0000
1472.0000	5728.0000	 -0.0055	 -0.0031	     nan	  0.0000
1504.0000	5728.0000	 -0.0048	 -0.0031	     nan	  0.0000
1536.0000	5728.0000	 -0.0042	 -0.0028	     nan	  0.0000
1568.0000	5728.0000	 -0.0037	 -0.0024	     nan	  0.0000
1600.0000	5728.0000	 -0.0036	 -0.0018	     nan	  0.0000
1632.0000	5728.0000	 -0.0034	 -0.0012	     nan	  0.0000
1664.0000	5728.0000	 -0.0034	 -0.0012	     nan	  0.0000
1696.0000	5728.0000	 -0.0030	 -0.0025	     nan	  0.0000
1728.0000	5728.0000	 -0.0018	 -0.0066	     nan	  0.0000
1760.0000	5728.0000	 -0.0026	 -0.0180	     nan	  0.0000
1792.0000	5728.0000	 -0.0069	 -0.0333	     nan	  0.0000
1824.0000	5728.0000	 -0.0065	 -0.0180	     nan	  0.0000
1856.0000	5728.0000	 -0.0054	  0.0045	     nan	  0.0000
1888.0000	5728.0000	 -0.0124	  0.0460	     nan	  0.0000
1920.0000	5728.0000	  0.0033	  0.0977	     nan	  0.0000
1952.0000	5728.0000	 -0.0280	  0.0755	     nan	  0.0000
1984.0000	5728.0000	 -0.1154	  0.1373	     nan	  0.0000
2016.0000	5728.0000	 -0.1485	  0.2110	     nan	  0.0000
2048.0000	5728.0000	 -0.1151	  0.0711	     nan	  0.0000
