# x	y	u	v	s2n	mask
 32.0000	5792.0000	  0.0002	  0.0202	     nan	  0.0000
 64.0000	5792.0000	 -0.0003	  0.0192	     nan	  0.0000
 96.0000	5792.0000	 -0.0008	  0.0163	     nan	  0.0000
128.0000	5792.0000	 -0.0012	  0.0136	     nan	  0.0000
160.0000	5792.0000	  0.0005	  0.0104	     nan	  0.0000
192.0000	5792.0000	  0.0077	  0.0041	     nan	  0.0000
224.0000	5792.0000	  0.0166	 -0.0032	     nan	  0.0000
256.0000	5792.0000	  0.0283	 -0.0117	     nan	  0.0000
288.0000	5792.0000	  0.0438	 -0.0222	     nan	  0.0000
320.0000	5792.0000	  0.0485	 -0.0258	     nan	  0.0000
352.0000	5792.0000	  0.0417	 -0.0226	     nan	  0.0000
384.0000	5792.0000	  0.0225	 -0.0124	     nan	  0.0000
416.0000	5792.0000	  0.0122	 -0.0065	     nan	  0.0000
448.0000	5792.0000	  0.0097	 -0.0035	     nan	  0.0000
480.0000	5792.0000	  0.0126	 -0.0014	     nan	  0.0000
512.0000	5792.0000	  0.0141	  0.0006	     nan	  0.0000
544.0000	5792.0000	  0.0134	  0.0021	     nan	  0.0000
576.0000	5792.0000	  0.0103	  0.0024	     nan	  0.0000
608.0000	5792.0000	  0.0075	  0.0024	     nan	  0.0000
640.0000	5792.0000	  0.0061	  0.0022	     nan	  0.0000
672.0000	5792.0000	  0.0070	  0.0021	     nan	  0.0000
704.0000	5792.0000	  0.0076	  0.0018	     nan	  0.0000
736.0000	5792.0000	  0.0079	  0.0013	     nan	  0.0000
768.0000	5792.0000	  0.0088	  0.0006	     nan	  0.0000
800.0000	5792.0000	  0.0111	 -0.0001	     nan	  0.0000
832.0000	5792.0000	  0.0140	 -0.0007	     nan	  0.0000
864.0000	5792.0000	  0.0164	 -0.0012	     nan	  0.0000
896.0000	5792.0000	  0.0171	 -0.0017	     nan	  0.0000
928.0000	5792.0000	  0.0169	 -0.0021	     nan	  0.0000
960.0000	5792.0000	  0.0163	 -0.0020	     nan	  0.0000
992.0000	5792.0000	  0.0152	 -0.0012	     nan	  0.0000
1024.0000	5792.0000	  0.0134	  0.0003	     nan	  0.0000
1056.0000	5792.0000	  0.0112	  0.0021	     nan	  0.0000
1088.0000	5792.0000	  0.0088	  0.0041	     nan	  0.0000
1120.0000	5792.0000	  0.0067	  0.0060	     nan	  0.0000
1152.0000	5792.0000	  0.0049	  0.0077	     nan	  0.0000
1184.0000	5792.0000	  0.0035	  0.0090	     nan	  0.0000
1216.0000	5792.0000	  0.0024	  0.0096	     nan	  0.0000
